id,name,part,count,section
1,3spokeangularblock3x120grey,4502595,2,2
2,Angularbeam2x4modulered,4141270,6,11
3,Angularbeam3x5modulegrey,4211713,2,11
4,Angularbeam3x5modulewhite,4585040,4,11
5,Angularbeam3x7modulegrey,4211624,4,11
6,Angularbeam4x4modulewhite,4509912,6,11
7,Angularbeam4x6moduleblack,4112282,4,11
8,Angularblock10black,4107085,4,2
9,Angularblock2180black,4107783,4,2
10,Angularblock690black,4107767,2,2
11,Angularconnectorpeg3x3modulegrey,4296059,4,1
12,Axle10moduleblack,373726,2,4
13,Axle12moduleblack,370826,2,4
14,Axle2modulered,4142865,10,4
15,Axle3modulegrey,4211815,14,4
16,Axle4moduleblack,370526,4,4
17,Axle5modulegrey,4211639,6,4
18,Axle6moduleblack,370626,4,4
19,Axle7modulegrey,4211805,5,4
20,Axle8moduleblack,370726,2,4
21,Axle9modulegrey,4535768,2,4
22,Axlewithstop4moduledarkgrey,4560177,2,7
23,Axlewithstop8moduledarkgrey,4499858,2,7
24,Axlewithstud3moduledarkbeige,6031821,2,7
25,Ballbearingdarkgrey,4610380,1,12
26,Beam11modulegrey,4611705,4,10
27,Beam13modulegrey,4522934,6,10
28,Beam15modulewhite,4542578,6,10
29,Beam3moduleblack,4142822,2,3
30,Beam3moduleblue,4509376,4,3
31,Beam3modulegreen,6007973,4,3
32,Beam3modulered,4153718,4,3
33,Beam3moduleyellow,4153707,4,3
34,beam4moduleblack,4142236,2,1
35,Beam5modulegrey,4211651,4,10
36,Beam7modulegrey,4495930,4,10
37,Beam9modulegrey,4211866,6,10
38,Beamwithcrosshole2moduleblack,6006140,4,3
39,Bevelgear12toothbeige,4565452,2,13
40,Bushing1modulegrey,4211622,10,9
41,Bushingaxleextender2modulered,4513174,6,2
42,Bushingmoduleyellow,4239601,10,9
43,Connectorpeg2modulegrey,4211807,10,6
44,Connectorpeg3modulebeige,4514554,6,5
45,Connectorpegwithaxle2modulebeige,4666579,8,8
46,Connectorpegwithbushing3modulered,4140806,22,7
47,Connectorpegwithfriction2moduleblack,4121715,60,6
48,Connectorpegwithfriction3moduleblue,4514553,30,5
49,Connectorpegwithfrictionaxle2moduleblue,4206482,20,8
50,Connectorpegwithhandle3moduleblack,4563044,2,1
51,Crossbeam2x1modulered,6008527,2,2
52,Crossblock2modulegrey,4211775,8,2
53,Crossblock2x2moduleblack,4140430,4,2
54,Crossblock3moduledarkgrey,4210857,8,2
55,Crossblock3x2modulegrey,4538007,6,2
56,Crossblockfork2x2moduleblack,4162857,4,1
57,Doubleangularbeam3x7modulewhite,373726,2,4
58,Doubleangularbeam3x7modulewhite,4495412,4,11
59,Doublebevelgear12toothblack,4177431,2,13
60,Doublebevelgear20toothblack,4177430,2,13
61,Doublebevelgear36toothblack,4255563,2,13
62,Doubleconnectorpeg3modulegrey,4560175,4,1
63,Doubleconnectorpeg3x3modulegrey,4225033,6,1
64,Doublecrossblock3moduleblack,4121667,8,2
65,Frame5x11modulegrey,4540797,1,12
66,Frame5x7modulegrey,4539880,3,12
67,Gear16toothgrey,4640536,4,13
68,Gear24toothdarkgrey,4514558,4,13
69,Gear40toothgrey,4285634,2,13
70,Gear4toothblack,4248204,4,13
71,Gear8toothdarkgrey,4514559,4,13
72,Hub24x4mmdarkgrey,4587275,4,13
73,Hub432x26mmgrey,4634091,2,14
74,Leftcurvedpanel3x5moduleblack,4566251,1,14
75,Leftcurvedpanel5x11moduleblack,4541326,1,14
76,Lowprofiletire56x28mmblack,6035364,2,14
77,Pointer3modulewhite,4173941,4,3
78,Rightcurvedpanel3x5moduleblack,4566249,1,14
79,Rightcurvedpanel5x11moduleblack,4543490,1,14
80,Rubberbeamwithcrossholes2moduleblack,4198367,4,3
81,Sprocket407x15mmblack,4582792,4,14
82,SteelBallsilvermetallic,6023956,1,12
83,TBeam3x3moduleblack,4552347,4,11
84,Tire304x4mmblack,6028041,4,13
85,Track5x15moduleblack,6014648,54,14
86,trianglebeam5x3modulegrey,6009019,4,1
87,Tube2modulegrey,4526985,4,7
88,Turntablebottom28toothgrey,4652235,2,13
89,Turntabletop28toothblack,4652236,2,13
90,Wormgeargrey,4211510,2,13
