               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063855,            0.021102,             0.10625,           0.0061829,             0.97582,            0.040119,            0.022608,            0.037803,           0.0086104,             0.10294,            0.070073,           0.0033252,           0.0033252
                   1,            0.043139,             0.01081,             0.10144,             0.79444,            0.056024,            0.086295,            0.045509,            0.036248,           0.0058904,            0.097726,            0.040007,           0.0065926,           0.0065926
                   2,            0.041638,           0.0085484,            0.096311,             0.65649,             0.18341,             0.18318,            0.097885,            0.035714,           0.0054225,            0.090873,           0.0098755,            0.009794,            0.009794
                   3,            0.040044,            0.008006,            0.086887,             0.48238,             0.44204,             0.36891,             0.20456,            0.032372,           0.0051533,            0.079329,            0.009703,            0.009703,            0.009703
                   4,            0.039185,           0.0077581,             0.07321,             0.48467,             0.57433,             0.56263,             0.32446,            0.034126,             0.00519,            0.062859,            0.009703,            0.009703,            0.009703
                   5,            0.039537,           0.0075055,            0.058871,             0.55612,             0.68399,             0.68626,             0.36774,            0.034815,           0.0052012,            0.050287,            0.009604,            0.009604,            0.009604
                   6,             0.03985,            0.007476,            0.047677,             0.66921,             0.74081,             0.79443,             0.45142,            0.034107,           0.0050363,             0.03971,            0.009505,            0.009505,            0.009505
                   7,            0.039921,           0.0074625,            0.039884,             0.70959,             0.80895,             0.84323,             0.48304,            0.034032,           0.0050652,            0.031278,            0.009406,            0.009406,            0.009406
                   8,            0.040105,           0.0073254,            0.034614,               0.709,             0.86198,             0.88107,             0.50981,             0.03374,           0.0049875,            0.026529,            0.009307,            0.009307,            0.009307
                   9,            0.039543,           0.0072509,            0.030451,             0.74412,             0.89547,             0.90449,              0.5322,            0.033135,           0.0049129,             0.02202,            0.009208,            0.009208,            0.009208
                  10,            0.039188,           0.0072315,             0.02763,             0.75317,             0.90803,             0.90694,             0.52961,             0.03264,           0.0049323,            0.020735,            0.009109,            0.009109,            0.009109
                  11,            0.038877,           0.0072794,            0.025969,             0.80381,             0.91177,             0.92417,             0.56021,            0.031658,           0.0048631,            0.018065,             0.00901,             0.00901,             0.00901
                  12,            0.038416,           0.0072671,            0.023457,             0.80232,              0.9231,             0.93311,             0.55078,             0.03288,           0.0048246,            0.016027,            0.008911,            0.008911,            0.008911
                  13,             0.03827,           0.0071521,            0.021235,             0.83838,             0.92434,             0.93878,             0.57311,            0.032529,           0.0048958,            0.013487,            0.008812,            0.008812,            0.008812
                  14,            0.037717,           0.0070516,            0.019981,              0.8685,             0.90236,             0.93996,             0.55767,            0.032189,           0.0049239,            0.012578,            0.008713,            0.008713,            0.008713
                  15,            0.037306,           0.0070534,            0.019068,              0.8336,             0.93669,             0.94086,             0.57953,            0.032013,           0.0048439,            0.012546,            0.008614,            0.008614,            0.008614
                  16,             0.03699,           0.0070987,            0.017788,             0.85529,             0.92504,             0.95142,             0.57615,            0.032086,           0.0048198,            0.011105,            0.008515,            0.008515,            0.008515
                  17,            0.036617,           0.0069935,            0.017182,             0.87376,             0.94948,             0.95701,             0.59043,            0.030535,           0.0047244,           0.0097539,            0.008416,            0.008416,            0.008416
                  18,            0.036484,           0.0069495,            0.016451,             0.83785,             0.95184,             0.95074,             0.59064,            0.030548,           0.0047952,            0.010222,            0.008317,            0.008317,            0.008317
                  19,            0.035861,            0.007004,            0.015847,             0.84175,             0.95116,              0.9479,             0.60078,            0.029851,            0.004748,             0.00932,            0.008218,            0.008218,            0.008218
                  20,             0.03605,           0.0068941,            0.015095,             0.89356,             0.93893,              0.9616,             0.59671,            0.030359,           0.0046569,           0.0083656,            0.008119,            0.008119,            0.008119
                  21,            0.035663,           0.0068693,            0.014593,             0.89968,             0.96095,             0.97122,             0.62144,            0.028801,           0.0046547,           0.0077446,             0.00802,             0.00802,             0.00802
                  22,            0.035085,           0.0068742,             0.01419,             0.88343,             0.96173,              0.9642,             0.61626,            0.029115,           0.0046492,           0.0075578,            0.007921,            0.007921,            0.007921
                  23,            0.034741,            0.006955,            0.013672,              0.9003,              0.9727,             0.96843,             0.62506,             0.02881,           0.0045793,           0.0072031,            0.007822,            0.007822,            0.007822
                  24,            0.034339,           0.0067705,            0.013038,             0.89892,              0.9687,             0.96633,             0.62205,            0.028877,           0.0045503,           0.0065785,            0.007723,            0.007723,            0.007723
                  25,            0.034195,            0.006878,            0.012736,             0.90775,             0.97116,             0.97569,             0.62575,            0.028192,           0.0045641,           0.0065057,            0.007624,            0.007624,            0.007624
                  26,            0.033789,           0.0067409,            0.011692,             0.90596,             0.97568,             0.97431,             0.63894,            0.027459,           0.0045312,           0.0062228,            0.007525,            0.007525,            0.007525
                  27,            0.033603,           0.0066877,            0.011702,             0.89732,               0.971,             0.97041,             0.64157,            0.027555,           0.0045451,           0.0057823,            0.007426,            0.007426,            0.007426
                  28,            0.033061,           0.0065963,            0.011797,             0.90977,             0.96226,             0.97026,             0.64189,            0.027304,           0.0045088,           0.0065778,            0.007327,            0.007327,            0.007327
                  29,            0.032909,           0.0066451,            0.010985,             0.92044,             0.97304,             0.97984,             0.64314,            0.027293,           0.0045849,           0.0055868,            0.007228,            0.007228,            0.007228
